2024-03-15 13:00:01 INFO  [order-service] Request received: PUT /api/orders/create from 192.168.2.176 [req_0d3ac1]
2024-03-15 13:00:02 INFO  [order-service] DB query executed in 6ms
2024-03-15 13:00:02 INFO  [order-service] Response: PUT /api/orders/create -> 201 (39ms)
2024-03-15 13:00:05 INFO  [order-service] Request received: GET /api/orders/9395/status from 192.168.1.199 [req_066976]
2024-03-15 13:00:06 INFO  [order-service] Response: GET /api/orders/9395/status -> 200 (42ms)
2024-03-15 13:00:06 INFO  [order-service] Request received: POST /api/orders/list from 10.0.1.76 [req_071ae9]
2024-03-15 13:00:06 INFO  [order-service] DB query executed in 40ms
2024-03-15 13:00:06 INFO  [order-service] Response: POST /api/orders/list -> 200 (8ms)
2024-03-15 13:00:08 INFO  [order-service] Request received: PUT /api/orders/list from 192.168.1.217 [req_0d2623]
2024-03-15 13:00:09 INFO  [order-service] Response: PUT /api/orders/list -> 200 (138ms)
2024-03-15 13:00:09 INFO  [order-service] Request received: PUT /api/orders/create from 10.0.2.26 [req_06198e]
2024-03-15 13:00:09 INFO  [order-service] Request received: GET /api/orders/list from 192.168.2.82 [req_0aacac]
2024-03-15 13:00:09 INFO  [order-service] Response: PUT /api/orders/create -> 200 (118ms)
2024-03-15 13:00:09 INFO  [order-service] DB query executed in 20ms
2024-03-15 13:00:09 INFO  [order-service] Response: GET /api/orders/list -> 204 (66ms)
2024-03-15 13:00:09 WARN  [order-service] Slow DB query: 732ms — SELECT * FROM sessions WHERE ...
2024-03-15 13:00:11 INFO  [order-service] Request received: PUT /api/orders/87924 from 10.0.2.27 [req_05e210]
2024-03-15 13:00:11 INFO  [order-service] Response: PUT /api/orders/87924 -> 200 (93ms)
2024-03-15 13:00:12 INFO  [order-service] Request received: GET /api/orders/12226/status from 192.168.2.176 [req_0babfd]
2024-03-15 13:00:12 INFO  [order-service] Response: GET /api/orders/12226/status -> 200 (174ms)
2024-03-15 13:00:14 INFO  [order-service] Request received: PUT /api/orders/create from 192.168.1.78 [req_0c6d69]
2024-03-15 13:00:14 INFO  [order-service] Response: PUT /api/orders/create -> 204 (53ms)
2024-03-15 13:00:22 INFO  [order-service] Request received: PUT /api/orders/create from 192.168.2.141 [req_04bea4]
2024-03-15 13:00:22 INFO  [order-service] DB query executed in 6ms
2024-03-15 13:00:22 INFO  [order-service] Response: PUT /api/orders/create -> 200 (107ms)
2024-03-15 13:00:22 INFO  [order-service] Request received: POST /api/orders/create from 10.0.1.235 [req_0c065f]
2024-03-15 13:00:22 INFO  [order-service] DB query executed in 32ms
2024-03-15 13:00:23 INFO  [order-service] Response: POST /api/orders/create -> 200 (124ms)
2024-03-15 13:00:28 INFO  [order-service] Request received: GET /api/orders/70868/cancel from 10.0.2.148 [req_0c3e59]
2024-03-15 13:00:28 INFO  [order-service] Response: GET /api/orders/70868/cancel -> 204 (163ms)
2024-03-15 13:00:29 INFO  [order-service] Request received: GET /api/orders/90750/cancel from 192.168.2.22 [req_049cf3]
2024-03-15 13:00:29 INFO  [order-service] DB query executed in 27ms
2024-03-15 13:00:29 INFO  [order-service] Response: GET /api/orders/90750/cancel -> 200 (87ms)
2024-03-15 13:00:39 INFO  [order-service] Request received: GET /api/orders/create from 192.168.2.163 [req_0ae206]
2024-03-15 13:00:39 INFO  [order-service] Response: GET /api/orders/create -> 201 (131ms)
2024-03-15 13:00:47 INFO  [order-service] Request received: POST /api/orders/37457/cancel from 192.168.2.234 [req_0191f9]
2024-03-15 13:00:47 INFO  [order-service] DB query executed in 28ms
2024-03-15 13:00:47 INFO  [order-service] Response: POST /api/orders/37457/cancel -> 200 (28ms)
2024-03-15 13:00:48 INFO  [order-service] Request received: GET /api/orders/list from 192.168.1.77 [req_0d27d9]
2024-03-15 13:00:48 INFO  [order-service] Response: GET /api/orders/list -> 201 (79ms)
2024-03-15 13:00:59 INFO  [order-service] Request received: POST /api/orders/50612/cancel from 192.168.2.157 [req_02e80f]
2024-03-15 13:00:59 INFO  [order-service] Response: POST /api/orders/50612/cancel -> 200 (24ms)
2024-03-15 13:01:00 WARN  [order-service] Slow DB query: 527ms — SELECT * FROM sessions WHERE ...
2024-03-15 13:01:07 INFO  [order-service] Request received: PUT /api/orders/1190/cancel from 192.168.2.38 [req_0614d8]
2024-03-15 13:01:07 INFO  [order-service] DB query executed in 16ms
2024-03-15 13:01:07 INFO  [order-service] Response: PUT /api/orders/1190/cancel -> 200 (141ms)
2024-03-15 13:01:07 INFO  [order-service] Request received: PUT /api/orders/12288/cancel from 192.168.1.141 [req_040f20]
2024-03-15 13:01:07 INFO  [order-service] Response: PUT /api/orders/12288/cancel -> 204 (148ms)
2024-03-15 13:01:11 INFO  [order-service] Request received: GET /api/orders/98029 from 192.168.2.213 [req_0d1188]
2024-03-15 13:01:11 INFO  [order-service] Response: GET /api/orders/98029 -> 200 (120ms)
2024-03-15 13:01:18 INFO  [order-service] Request received: GET /api/orders/list from 192.168.2.143 [req_0ebb52]
2024-03-15 13:01:18 INFO  [order-service] Response: GET /api/orders/list -> 204 (122ms)
2024-03-15 13:01:33 INFO  [order-service] Request received: POST /api/orders/list from 192.168.2.20 [req_04d12a]
2024-03-15 13:01:33 INFO  [order-service] DB query executed in 19ms
2024-03-15 13:01:33 INFO  [order-service] Response: POST /api/orders/list -> 200 (168ms)
2024-03-15 13:01:34 INFO  [order-service] Request received: GET /api/orders/21303 from 192.168.1.173 [req_0601ca]
2024-03-15 13:01:34 INFO  [order-service] DB query executed in 28ms
2024-03-15 13:01:34 INFO  [order-service] Response: GET /api/orders/21303 -> 200 (126ms)
2024-03-15 13:01:36 INFO  [order-service] Request received: PUT /api/orders/55602/status from 10.0.1.129 [req_01efca]
2024-03-15 13:01:36 INFO  [order-service] Response: PUT /api/orders/55602/status -> 204 (161ms)
2024-03-15 13:01:36 WARN  [order-service] GC pause: G1 Young Generation, 61ms, freed 12MB
2024-03-15 13:01:45 INFO  [order-service] Request received: PUT /api/orders/list from 10.0.2.124 [req_0eb3e7]
2024-03-15 13:01:45 INFO  [order-service] Response: PUT /api/orders/list -> 200 (82ms)
2024-03-15 13:02:05 INFO  [order-service] Request received: GET /api/orders/list from 10.0.1.168 [req_0eb2d1]
2024-03-15 13:02:05 INFO  [order-service] Response: GET /api/orders/list -> 200 (179ms)
2024-03-15 13:02:05 INFO  [order-service] Request received: POST /api/orders/37456 from 10.0.1.143 [req_0a7ebd]
2024-03-15 13:02:05 INFO  [order-service] DB query executed in 28ms
2024-03-15 13:02:05 INFO  [order-service] Response: POST /api/orders/37456 -> 204 (100ms)
2024-03-15 13:02:06 INFO  [order-service] Request received: GET /api/orders/list from 192.168.2.230 [req_0c4e5e]
2024-03-15 13:02:06 INFO  [order-service] Response: GET /api/orders/list -> 200 (89ms)
2024-03-15 13:02:14 INFO  [order-service] Request received: PUT /api/orders/list from 10.0.1.72 [req_01d72d]
2024-03-15 13:02:14 INFO  [order-service] Response: PUT /api/orders/list -> 200 (77ms)
2024-03-15 13:02:16 INFO  [order-service] Request received: GET /api/orders/list from 10.0.2.215 [req_0b3440]
2024-03-15 13:02:17 INFO  [order-service] Response: GET /api/orders/list -> 204 (76ms)
2024-03-15 13:02:19 INFO  [order-service] Request received: POST /api/orders/50675 from 192.168.1.148 [req_0bef78]
2024-03-15 13:02:19 INFO  [order-service] Response: POST /api/orders/50675 -> 200 (107ms)
2024-03-15 13:02:32 INFO  [order-service] Request received: PUT /api/orders/54424/status from 10.0.1.246 [req_0e7677]
2024-03-15 13:02:32 INFO  [order-service] Response: PUT /api/orders/54424/status -> 204 (158ms)
2024-03-15 13:02:40 INFO  [order-service] Request received: POST /api/orders/92165 from 10.0.1.151 [req_0e04e3]
2024-03-15 13:02:40 INFO  [order-service] Response: POST /api/orders/92165 -> 200 (20ms)
2024-03-15 13:02:47 INFO  [order-service] Request received: GET /api/orders/34913 from 10.0.2.157 [req_0bf7ef]
2024-03-15 13:02:47 INFO  [order-service] Response: GET /api/orders/34913 -> 200 (176ms)
2024-03-15 13:02:59 INFO  [order-service] Request received: PUT /api/orders/create from 192.168.1.184 [req_051085]
2024-03-15 13:02:59 INFO  [order-service] Response: PUT /api/orders/create -> 201 (72ms)
2024-03-15 13:03:07 INFO  [order-service] Request received: GET /api/orders/create from 192.168.2.26 [req_0c5818]
